"population","year","sex","prespawn"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","Spawned"
"IMN",2006,"F","PreSpawn"
"IMN",2006,"F","PreSpawn"
"IMN",2006,"F","PreSpawn"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","Spawned"
"IMN",2007,"F","PreSpawn"
"IMN",2007,"F","PreSpawn"
"IMN",2007,"F","PreSpawn"
"IMN",2007,"F","PreSpawn"
"IMN",2007,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","PreSpawn"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
"IMN",2008,"F","Spawned"
