population,trap_year,trap_date,count,sex,origin,fork_length,disposition,age_designation,age_best,age_cwt,age_pit,age_scale,age_length,recapture,oppunch,notes
CAT,2001,2001-07-05,1,F,Nat,715,removed,Adult,4,NA,NA,NA,4,FALSE,,Nick on left side. Net mark behind left pelvic fin.
CAT,2001,2001-07-05,1,M,Nat,673,passed,Adult,4,NA,NA,NA,4,FALSE,2ROP,
CAT,2001,2001-07-05,1,M,Hat,462,removed,Adult,3,3,3,NA,3,FALSE,,
CAT,2001,2001-07-05,1,F,Nat,722,removed,Adult,4,NA,NA,NA,4,FALSE,,"Ding on nose, some erosion on leading edge of dorsal fin"
CAT,2001,2001-07-07,1,F,Nat,751,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Abrasion on top of head between eyes
CAT,2001,2001-07-07,1,M,Nat,930,passed,Adult,5,NA,NA,NA,5,FALSE,1ROP,"Abrasion just behind dorsal on top of back about 0.75"", healed over"
CAT,2001,2001-07-07,1,F,Nat,621,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,"1"" scar on top of head; 0.25"" scar on tip of nose"
CAT,2001,2001-09-01,1,F,Nat,700,removed,Adult,4,NA,NA,NA,4,FALSE,1CAU,
CAT,2001,2001-09-02,1,F,Nat,732,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP,Genetics CC-STS-14-01
CAT,2001,2001-09-04,1,M,Hat,546,removed,Adult,3,3,NA,NA,3,FALSE,,not originally in data  -from CC CHS Pat-modified
CAT,2001,2001-09-06,1,M,Hat,370,removed,Adult,3,NA,NA,NA,3,FALSE,,Brought to La Grande
CAT,2001,2001-09-06,1,M,Hat,490,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2001,2001-09-06,1,M,Nat,589,removed,Adult,3,NA,NA,NA,3,FALSE,,
CAT,2002,2002-05-20,1,F,Hat,740,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-25,1,F,Nat,667,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-25,1,F,Nat,801,passed,Adult,5,NA,NA,NA,5,FALSE,1ROP/CAU,
CAT,2002,2002-05-26,1,M,Nat,703,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-26,1,M,Nat,698,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-26,1,F,Nat,715,removed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-26,1,F,Nat,820,passed,Adult,5,NA,NA,NA,5,FALSE,1ROP/CAU,
CAT,2002,2002-05-26,1,F,Nat,815,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-26,1,M,Hat,729,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-27,1,F,Nat,740,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-27,1,M,Nat,762,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-27,1,M,Nat,755,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-27,1,F,Nat,865,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-27,1,M,Hat,741,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-27,1,F,Nat,762,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,Old mark on top center of head
CAT,2002,2002-05-27,1,M,Hat,737,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
CAT,2002,2002-05-27,1,F,Nat,689,passed,Adult,4,NA,NA,NA,4,FALSE,1ROP/CAU,
